Trajectories
100
,,sano:Uln,,,sano:MPH3,,,sano:Rad,,,sano:PIP3,,,sano:DIP3,,,sano:DIP4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
67,0,140.050140,-80.256554,6.500430,39.242764,-21.412861,57.290394,89.254082,-130.843414,9.248619,-7.183384,22.930204,53.917923,-32.330772,47.828735,36.560684,,,
68,0,140.041824,-80.249573,6.505210,39.245716,-21.456806,57.287914,89.428978,-130.899704,9.213927,-7.184527,22.932634,53.907497,-32.315094,47.862679,36.575649,,,
69,0,140.039261,-80.239891,6.483456,39.222115,-21.486853,57.285194,89.320427,-130.904495,9.213919,-7.188045,22.927332,53.916634,-32.295567,47.860443,36.581417,,,
70,0,140.075363,-80.253738,6.502879,39.230179,-21.478834,57.291538,89.249344,-130.918182,9.198365,-7.190408,22.953386,53.902531,-32.303486,47.857807,36.561504,,,
71,0,140.078339,-80.264496,6.500371,39.237568,-21.446016,57.294781,89.279808,-130.924377,9.197367,-7.190691,22.945595,53.895714,-32.299011,47.864475,36.575237,,,
72,0,140.103409,-80.277290,6.497445,39.265385,-21.454647,57.287193,89.309425,-130.862244,9.228411,-7.196055,22.950199,53.891235,-32.299976,47.875477,36.562469,,,
73,0,140.101425,-80.275604,6.495656,39.225304,-21.482721,57.269344,89.426773,-130.990265,9.187906,-7.199732,22.947073,53.887093,-32.340878,47.783966,36.532803,,,
74,0,140.109177,-80.243118,6.535072,39.228271,-21.487358,57.288731,89.350708,-130.968735,9.206689,-7.204079,22.928860,53.912579,-32.292496,47.842953,36.569027,,,
75,0,140.112549,-80.268280,6.536503,39.239635,-21.449167,57.316326,89.359970,-130.952774,9.238302,-7.188122,22.932787,53.903488,-32.287052,47.853981,36.581905,,,
76,0,140.128464,-80.267807,6.541707,39.227467,-21.470907,57.327579,89.244049,-130.821655,9.279146,-7.190666,22.928429,53.917675,-32.310062,47.854649,36.603756,,,
77,0,140.128281,-80.267426,6.541750,39.198647,-21.443275,57.318161,89.342506,-130.856613,9.251637,-7.200424,22.921412,53.904011,-32.315891,47.886303,36.593777,,,
78,0,140.106262,-80.221840,6.517757,39.186745,-21.450684,57.314129,89.271042,-130.743607,9.268278,-7.184686,22.937410,53.921394,-32.316109,47.885136,36.596733,,,
79,0,140.093582,-80.233040,6.535432,39.218857,-21.484344,57.307255,89.347389,-130.843842,9.200716,-7.190748,22.931713,53.920670,-32.301991,47.849644,36.587158,,,
80,0,140.112152,-80.248215,6.547614,39.228218,-21.461111,57.279854,89.310425,-130.874359,9.233497,-7.189590,22.931351,53.920296,-32.302822,47.876480,36.605087,,,
81,0,140.113892,-80.249504,6.548827,39.209167,-21.452171,57.275196,89.304688,-130.888153,9.274803,-7.178697,22.922476,53.919018,-32.310879,47.849270,36.598724,,,
82,0,140.094635,-80.277145,6.534274,39.225559,-21.463581,57.286407,89.322350,-130.842453,9.186306,-7.184364,22.926472,53.900906,-32.294758,47.861835,36.572582,,,
83,0,140.101044,-80.280106,6.513123,39.238831,-21.446589,57.293549,89.315491,-130.867950,9.159482,-7.181755,22.913647,53.909859,-32.285854,47.865234,36.579033,,,
84,0,140.108704,-80.263489,6.534636,39.262726,-21.461378,57.275478,89.232597,-130.872833,9.227459,-7.179929,22.921921,53.916981,-32.282410,47.878025,36.571209,,,
85,0,140.110611,-80.263649,6.535654,39.261307,-21.453539,57.275478,89.268005,-130.916504,9.181045,-7.186639,22.914751,53.916245,-32.316513,47.864048,36.584705,,,
86,0,140.100388,-80.275848,6.503601,39.247910,-21.475580,57.286572,89.263138,-130.810318,9.206117,-7.188800,22.940454,53.909969,-32.310406,47.843426,36.570705,,,
